127.0.0.1 - - [07/Sep/2017:17:02:54 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:19 -0400] "GET /Reimbursement_project/login.html HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:19 -0400] "GET /Reimbursement_project/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:19 -0400] "GET /Reimbursement_project/css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:19 -0400] "GET /Reimbursement_project/css/login.css HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:19 -0400] "GET /Reimbursement_project/images/bkgrnd6.jpg HTTP/1.1" 200 67630
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:31 -0400] "GET /Reimbursement_project/login.html HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:31 -0400] "GET /Reimbursement_project/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:31 -0400] "GET /Reimbursement_project/css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:31 -0400] "GET /Reimbursement_project/css/login.css HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:32 -0400] "GET /Reimbursement_project/images/bkgrnd6.jpg HTTP/1.1" 200 67630
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:32 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:45 -0400] "POST /Reimbursement_project/login HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:46 -0400] "GET /Reimbursement_project/css/employee_home.css HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:46 -0400] "GET /Reimbursement_project/js/employee_home.js HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:03:46 -0400] "GET /Reimbursement_project/images/bkgrnd4.jpg HTTP/1.1" 200 23238
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:04:10 -0400] "POST /Reimbursement_project/login HTTP/1.1" 200 6402
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:04:10 -0400] "GET /Reimbursement_project/css/manager_home.css HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:04:14 -0400] "GET /Reimbursement_project/register.html HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:04:14 -0400] "GET /Reimbursement_project/js/register.js HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [07/Sep/2017:17:04:14 -0400] "GET /Reimbursement_project/css/register.css HTTP/1.1" 200 1038
