127.0.0.1 - - [08/Sep/2017:17:59:19 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Sep/2017:17:59:19 -0400] "GET /JShomework/homework.html HTTP/1.1" 200 3258
0:0:0:0:0:0:0:1 - - [08/Sep/2017:17:59:19 -0400] "GET /JShomework/js/homework.js HTTP/1.1" 200 13525
0:0:0:0:0:0:0:1 - - [08/Sep/2017:17:59:50 -0400] "GET /JShomework/calc.html HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [08/Sep/2017:18:32:21 -0400] "GET /JShomework/calc.html HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:01:11 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:01:29 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:01:30 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:06:58 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:07:10 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:08:22 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3852
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:08:31 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3852
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:08:35 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:09:04 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:09:12 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:17:41 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:17:54 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:18:56 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [08/Sep/2017:22:19:02 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3868
