127.0.0.1 - - [08/Sep/2017:19:32:01 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:32:02 -0400] "GET /IntroToJS/hwViewer.html HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:32:03 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:32:51 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7398
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:33:06 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7398
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:37:47 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7403
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:38:08 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:38:09 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:38:23 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7411
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:38:38 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7411
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:38:42 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7411
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:39:19 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7439
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:39:21 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7439
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:39:25 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7439
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:39:48 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7445
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:40:43 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:40:45 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:40:47 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:42:59 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7655
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:43:05 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7655
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:43:31 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:43:37 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:44:15 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:44:23 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:46:20 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:46:42 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:47:30 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7500
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:47:36 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7500
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:48:24 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7501
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:48:26 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7501
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:48:42 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:48:44 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:49:04 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7450
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:49:23 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7444
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:49:33 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7444
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:49:35 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7444
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:50:15 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7860
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:50:42 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:50:57 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:58:24 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:58:33 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:59:27 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 8166
0:0:0:0:0:0:0:1 - - [08/Sep/2017:19:59:30 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:20:01:12 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 9691
0:0:0:0:0:0:0:1 - - [08/Sep/2017:20:01:38 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:20:01:39 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2017:20:01:49 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 9692
0:0:0:0:0:0:0:1 - - [08/Sep/2017:20:02:04 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 9694
0:0:0:0:0:0:0:1 - - [08/Sep/2017:20:02:39 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 9697
0:0:0:0:0:0:0:1 - - [08/Sep/2017:20:03:52 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [08/Sep/2017:20:04:24 -0400] "GET /IntroToJS/JavaScript%20homework/indexJQuery.html HTTP/1.1" 200 9718
