2017-09-07 18:11:19,964 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.reimburse:reimbursement:0.0.1-SNAPSHOT @ C:\Users\jathm\my_git_repos\1708Aug14Code\Reimbursement Project\Reimbursement\pom.xml.
2017-09-07 18:11:25,224 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Reimbursement/src/main/java
2017-09-07 18:11:25,225 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Reimbursement/src/test/java
2017-09-07 18:11:29,373 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 16 sec
2017-09-07 18:11:34,171 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 18:11:34,247 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jathm\my_git_repos\1708Aug14Code\Reimbursement Project\Reimbursement\src\main\resources
2017-09-07 18:11:34,251 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 18:11:34,349 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jathm\my_git_repos\1708Aug14Code\Reimbursement Project\Reimbursement\src\test\resources
2017-09-07 18:14:26,260 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 18:14:26,667 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jathm\my_git_repos\1708Aug14Code\Reimbursement Project\Reimbursement\src\main\resources
2017-09-07 18:14:26,670 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 18:14:26,783 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jathm\my_git_repos\1708Aug14Code\Reimbursement Project\Reimbursement\src\test\resources
2017-09-07 18:15:01,972 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 18:15:02,038 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jathm\my_git_repos\1708Aug14Code\Reimbursement Project\Reimbursement\src\main\resources
2017-09-07 18:15:02,043 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-07 18:15:02,076 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jathm\my_git_repos\1708Aug14Code\Reimbursement Project\Reimbursement\src\test\resources
