127.0.0.1 - - [31/Aug/2017:10:42:18 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:42:19 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:42:40 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:43:36 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:43:38 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:47:55 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:48:16 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:48:29 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:49:07 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:52:10 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:54:09 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:54:42 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:55:34 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:56:25 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:56:30 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:56:56 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:57:43 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:58:04 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:58:08 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [31/Aug/2017:10:58:51 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:00:01 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:00:44 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:00:55 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:01:04 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:01:05 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:01:07 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:01:13 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:03:07 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:03:16 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:03:23 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:03:58 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:04:11 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:06:16 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:06:57 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [31/Aug/2017:11:09:40 -0400] "GET /AnotherServletExample/jQuery.html HTTP/1.1" 200 1557
