2017-09-11 15:10:58,029 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:HibernateIntro:0.0.1-SNAPSHOT @ C:\Users\vlad\my_git_repos\1708Aug14Code\Vladimir_Yevseenko_Code\frameworks\HibernateIntro\pom.xml.
2017-09-11 15:10:59,117 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HibernateIntro/src/main/java
2017-09-11 15:10:59,119 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /HibernateIntro/src/main/resources
2017-09-11 15:10:59,119 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HibernateIntro/src/test/java
2017-09-11 15:10:59,119 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /HibernateIntro/src/test/resources
2017-09-11 15:11:00,149 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-11 15:11:00,157 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-11 15:11:00,159 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-11 15:11:00,164 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-11 15:11:20,535 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:HibernateIntro:0.0.1-SNAPSHOT @ C:\Users\vlad\my_git_repos\1708Aug14Code\Vladimir_Yevseenko_Code\frameworks\HibernateIntro\pom.xml.
2017-09-11 15:11:37,021 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:HibernateIntro:0.0.1-SNAPSHOT @ C:\Users\vlad\my_git_repos\1708Aug14Code\Vladimir_Yevseenko_Code\frameworks\HibernateIntro\pom.xml.
2017-09-11 15:11:37,822 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-11 15:11:37,829 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-11 15:11:37,831 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-11 15:11:37,836 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
